4,Thursday,7AM,8AM,17MFF-0197,1037688,7:00,8:00,37.76383946,-122.456787
2,Tuesday,7AM,8AM,17MFF-0197,1037688,7:00,8:00,37.76383946,-122.456787
4,Thursday,10AM,11AM,17MFF-0197,1037693,10:00,11:00,37.76785037,-122.4106303
3,Wednesday,8AM,9AM,17MFF-0197,1037689,8:00,9:00,37.77608836,-122.4069189
3,Wednesday,12PM,1PM,17MFF-0197,1037695,12:00,13:00,37.78056219,-122.4311891
5,Friday,8AM,9AM,17MFF-0197,1037689,8:00,9:00,37.77608836,-122.4069189
2,Tuesday,12PM,1PM,17MFF-0197,1037695,12:00,13:00,37.78056219,-122.4311891
3,Wednesday,5AM,6AM,17MFF-0197,1037687,5:00,6:00,37.76464667,-122.4057014
3,Wednesday,7AM,8AM,17MFF-0197,1037688,7:00,8:00,37.76383946,-122.456787
3,Wednesday,10AM,11AM,17MFF-0197,1037693,10:00,11:00,37.76785037,-122.4106303
1,Monday,10AM,2PM,17MFF-0197,1037694,10:00,14:00,37.79095506,-122.4324986
5,Friday,10AM,11AM,17MFF-0197,1037693,10:00,11:00,37.76785037,-122.4106303
4,Thursday,10AM,11AM,17MFF-0197,1037695,10:00,11:00,37.78056219,-122.4311891
4,Thursday,12PM,1PM,17MFF-0197,1037695,12:00,13:00,37.78056219,-122.4311891
4,Thursday,10AM,11AM,17MFF-0197,1037692,10:00,11:00,37.77876773,-122.4227573
5,Friday,10AM,2PM,17MFF-0197,1037694,10:00,14:00,37.79095506,-122.4324986
2,Tuesday,10AM,11AM,17MFF-0197,1037695,10:00,11:00,37.78056219,-122.4311891
4,Thursday,8AM,9AM,17MFF-0197,1037689,8:00,9:00,37.77608836,-122.4069189
2,Tuesday,10AM,11AM,17MFF-0197,1037693,10:00,11:00,37.76785037,-122.4106303
4,Thursday,10AM,8PM,17MFF-0196,1039786,10:00,20:00,37.7634221,-122.4194427
3,Wednesday,12AM,3AM,15MFF-0007,1010174,0:00,3:00,37.75886096,-122.4191439
2,Tuesday,12AM,3AM,15MFF-0007,1010174,0:00,3:00,37.75886096,-122.4191439
1,Monday,12PM,12AM,15MFF-0007,1010174,12:00,24:00:00,37.75886096,-122.4191439
2,Tuesday,10AM,8PM,17MFF-0196,1039786,10:00,20:00,37.7634221,-122.4194427
3,Wednesday,12PM,12AM,15MFF-0007,1010174,12:00,24:00:00,37.75886096,-122.4191439
3,Wednesday,10AM,8PM,17MFF-0196,1039786,10:00,20:00,37.7634221,-122.4194427
4,Thursday,12AM,3AM,15MFF-0007,1010174,0:00,3:00,37.75886096,-122.4191439
2,Tuesday,12PM,12AM,15MFF-0007,1010174,12:00,24:00:00,37.75886096,-122.4191439
3,Wednesday,7AM,6PM,12MFF-0083,364218,7:00,18:00,37.78770861,-122.4007238
6,Saturday,11AM,5PM,17MFF-0186,988643,11:00,17:00,37.75300725,-122.4053561
1,Monday,11AM,5PM,17MFF-0186,988643,11:00,17:00,37.75300725,-122.4053561
2,Tuesday,11AM,5PM,17MFF-0186,988643,11:00,17:00,37.75300725,-122.4053561
3,Wednesday,9AM,1PM,17MFF-0198,1042438,9:00,13:00,37.79017299,-122.4015755
5,Friday,9AM,1PM,17MFF-0198,1042438,9:00,13:00,37.79017299,-122.4015755
4,Thursday,9AM,1PM,17MFF-0198,1058991,9:00,13:00,37.78795151,-122.3997704
2,Tuesday,9AM,1PM,17MFF-0198,1058991,9:00,13:00,37.78795151,-122.3997704
1,Monday,9AM,1PM,17MFF-0198,1042438,9:00,13:00,37.79017299,-122.4015755
5,Friday,9AM,1PM,17MFF-0198,1058991,9:00,13:00,37.78795151,-122.3997704
0,Sunday,6PM,12AM,18MFF-0001,1081501,18:00,24:00:00,37.76019142,-122.4191325
6,Saturday,6PM,12AM,18MFF-0001,1081501,18:00,24:00:00,37.76019142,-122.4191325
4,Thursday,6PM,12AM,18MFF-0001,1081501,18:00,24:00:00,37.76019142,-122.4191325
5,Friday,6PM,12AM,18MFF-0001,1081501,18:00,24:00:00,37.76019142,-122.4191325
1,Monday,6PM,12AM,18MFF-0001,1081501,18:00,24:00:00,37.76019142,-122.4191325
2,Tuesday,6PM,12AM,18MFF-0001,1081501,18:00,24:00:00,37.76019142,-122.4191325
3,Wednesday,6PM,12AM,18MFF-0001,1081501,18:00,24:00:00,37.76019142,-122.4191325
1,Monday,6AM,5PM,18MFF-0002,1082044,6:00,17:00,37.78267646,-122.4064511
3,Wednesday,6AM,5PM,18MFF-0002,1082044,6:00,17:00,37.78267646,-122.4064511
5,Friday,6AM,5PM,18MFF-0002,1082044,6:00,17:00,37.78267646,-122.4064511
5,Friday,10AM,4PM,18MFF-0006,1090089,10:00,16:00,37.74412222,-122.3903433
5,Friday,10AM,7PM,18MFF-0005,1090081,10:00,19:00,37.76934569,-122.4133299
3,Wednesday,10AM,7PM,18MFF-0005,1090081,10:00,19:00,37.76934569,-122.4133299
1,Monday,10AM,2PM,18MFF-0006,1090091,10:00,14:00,37.72629791,-122.3891501
0,Sunday,8AM,10PM,18MFF-0006,1090090,8:00,22:00,37.73013611,-122.3991627
5,Friday,10AM,4PM,18MFF-0004,1089697,10:00,16:00,37.76376185,-122.4135332
